customer_id,age,sex,from_luzon,single,has_children,flight_count,avg_n_guests,avg_spend_log,ratio_domestic,ratio_one_way,avg_days_advanced,max_days_advanced,min_days_advanced,flight_quarter_mode
48,36,F,1,0,1,2,5.5,8.67875055360222,1.0,1.0,27.0,33,21,2
49,36,F,0,1,0,1,3.0,8.785583418227061,0.0,1.0,56.0,56,56,4
50,17,F,1,1,0,1,1.0,9.507630365320594,0.0,0.0,59.0,59,59,2
51,25,F,0,1,0,1,1.0,9.606728967559317,0.0,1.0,50.0,50,50,4
52,49,F,1,0,0,1,4.0,10.084388103415328,0.0,1.0,57.0,57,57,4
53,31,F,1,0,1,2,2.0,8.41287972577196,0.5,0.5,32.5,51,14,2
54,34,F,0,1,0,1,1.0,8.513374832552032,0.0,1.0,44.0,44,44,2
55,23,M,0,1,0,2,1.0,6.907755278982137,1.0,1.0,17.0,20,14,4
56,33,M,0,1,0,3,2.6666666666666665,8.760994472046653,1.0,0.3333333333333333,19.666666666666668,24,16,4
57,37,F,0,0,0,2,2.0,9.081184082424985,0.5,0.5,39.5,69,10,4
58,38,F,0,1,0,2,1.0,9.431269194628253,0.0,0.5,56.5,65,48,1
59,51,F,1,0,0,4,3.0,8.52560084788594,1.0,0.5,16.25,19,14,2
60,15,F,1,0,1,1,3.0,8.158230932972874,1.0,1.0,17.0,17,17,4
61,31,M,1,0,0,4,4.25,10.097970095879457,0.5,0.5,39.0,69,11,2
62,17,F,0,0,0,2,3.5,9.55841199567585,0.5,0.5,37.5,62,13,2
63,36,M,1,0,1,1,2.0,8.549771275533145,1.0,1.0,16.0,16,16,2
64,46,F,1,0,0,1,1.0,8.542208765285448,0.0,1.0,69.0,69,69,4
65,24,M,0,1,0,2,1.0,8.702369999516314,0.5,0.5,30.5,50,11,2
66,15,M,0,1,0,3,2.3333333333333335,9.497481975820165,0.3333333333333333,0.6666666666666666,49.666666666666664,70,10,2
67,39,M,1,1,0,3,3.3333333333333335,8.933488863936072,0.6666666666666666,0.6666666666666666,31.0,64,13,4
68,46,Other,0,0,1,1,2.0,10.066752780979328,0.0,0.0,59.0,59,59,4
69,35,F,1,1,0,2,2.0,9.015305278476943,0.5,0.5,38.0,63,13,4
70,17,M,0,1,0,1,1.0,8.162870797931738,1.0,1.0,14.0,14,14,4
71,31,F,1,0,1,3,3.0,9.687703079294364,0.6666666666666666,0.3333333333333333,30.666666666666668,59,16,4
72,22,F,1,1,0,1,1.0,8.910060204342344,0.0,1.0,53.0,53,53,2
73,20,F,0,0,0,3,3.6666666666666665,8.618166217554139,1.0,0.6666666666666666,18.0,21,14,4
74,53,M,1,1,0,2,2.5,10.203030012980836,0.0,0.5,69.0,73,65,4
75,44,M,0,1,0,3,1.0,8.67268614000614,0.3333333333333333,0.3333333333333333,44.666666666666664,65,9,2
76,39,F,0,0,0,1,6.0,10.66000093995648,0.0,1.0,51.0,51,51,4
77,38,M,0,0,1,2,2.5,9.143821019094972,0.5,1.0,33.5,44,23,2
78,22,F,1,0,0,2,4.5,8.821445145058956,1.0,1.0,12.5,14,11,2
79,35,M,0,1,0,1,1.0,6.907755278982137,1.0,1.0,17.0,17,17,2
80,40,M,1,0,0,3,2.6666666666666665,9.296804121593949,0.3333333333333333,0.6666666666666666,50.333333333333336,69,23,2
81,36,F,1,1,0,3,1.6666666666666667,8.457671769093176,1.0,0.3333333333333333,17.333333333333332,22,13,4
82,40,F,0,1,0,2,2.0,10.011316997463076,0.0,0.0,59.0,70,48,2
83,27,M,1,1,0,1,1.0,8.81497934337519,1.0,0.0,14.0,14,14,2
84,55,M,0,0,0,2,2.0,8.813576258663755,0.5,0.5,42.0,71,13,4
85,40,M,1,1,0,3,1.0,9.118743132380631,0.3333333333333333,0.3333333333333333,42.0,61,18,4
86,49,F,1,0,1,3,3.6666666666666665,9.0971282929646,0.3333333333333333,0.6666666666666666,41.0,56,16,4
87,37,F,1,1,0,2,2.0,8.71183453106049,0.5,0.0,32.0,51,13,2
88,27,M,1,1,0,1,1.0,6.907755278982137,1.0,1.0,15.0,15,15,4
89,35,F,1,1,0,2,2.0,9.250244123927525,0.5,0.5,35.5,57,14,4
90,38,F,1,1,0,2,1.0,8.157197069646655,1.0,0.0,9.5,10,9,4
91,20,M,0,0,1,2,1.0,9.197595229422125,0.0,1.0,57.0,68,46,4
92,21,M,1,1,0,6,1.3333333333333333,8.689698655001115,0.5,0.6666666666666666,41.166666666666664,78,15,4
93,49,M,0,0,1,2,4.0,8.18279731919281,1.0,1.0,12.5,13,12,4
94,26,M,1,0,1,2,1.5,8.009403177722865,1.0,1.0,11.0,14,8,2
95,20,F,0,1,0,2,2.0,9.877297421278055,0.0,0.5,67.0,69,65,2
96,37,M,1,1,1,2,1.0,8.753408872315276,0.0,1.0,61.5,69,54,2
97,25,M,0,1,0,1,1.0,9.057612101309392,0.0,0.0,55.0,55,55,4
98,52,F,1,1,0,1,1.0,6.907755278982137,1.0,1.0,15.0,15,15,4
99,24,M,0,1,0,1,1.0,7.556907080972476,1.0,0.0,11.0,11,11,4
100,23,F,0,1,0,2,1.0,7.264607316010942,1.0,1.0,16.0,16,16,4
101,32,F,1,1,0,2,1.0,8.042628388257747,1.0,1.0,12.5,13,12,4
102,18,F,1,0,1,2,2.0,8.567662757857004,0.5,0.5,43.0,70,16,2
103,34,F,1,1,0,1,1.0,8.019303727710595,1.0,0.0,14.0,14,14,4
104,17,F,0,0,1,1,3.0,10.191875395232861,0.0,1.0,47.0,47,47,2
105,31,F,1,0,0,1,1.0,8.855868708276079,0.0,1.0,70.0,70,70,2
106,25,F,1,1,0,1,1.0,7.917336338852099,1.0,1.0,9.0,9,9,4
107,27,F,1,0,1,3,1.3333333333333333,9.304886922460549,0.3333333333333333,0.3333333333333333,51.0,74,15,4
108,46,F,1,1,0,1,1.0,6.907755278982137,1.0,1.0,16.0,16,16,4
109,26,F,1,1,0,3,2.0,8.920375458817235,0.6666666666666666,0.6666666666666666,28.0,57,13,4
110,33,M,0,0,0,1,1.0,9.594765272642729,0.0,0.0,61.0,61,61,4
111,18,M,0,1,0,2,1.0,8.481877860182342,0.5,0.0,41.0,69,13,4
112,17,M,0,1,0,1,1.0,8.006984574229303,1.0,0.0,8.0,8,8,2
113,43,M,0,1,0,1,1.0,7.755931524647497,1.0,1.0,19.0,19,19,4
114,43,M,1,0,0,3,2.0,8.719918769977907,0.6666666666666666,0.6666666666666666,24.333333333333332,46,13,2
115,29,M,1,1,0,1,1.0,8.084999304011205,1.0,0.0,16.0,16,16,2
116,25,F,0,1,0,2,2.0,10.142730806184048,0.0,1.0,53.0,57,49,2
117,29,M,1,0,1,2,2.0,8.518320185326019,1.0,0.5,17.0,18,16,4
118,36,M,1,0,0,2,2.0,9.383436225645223,0.5,0.5,36.0,55,17,4
119,52,M,1,1,0,3,1.6666666666666667,8.649785393290536,0.3333333333333333,1.0,51.666666666666664,73,13,4
120,29,F,1,1,0,3,1.0,8.011793556684148,1.0,0.3333333333333333,16.666666666666668,20,10,4
121,45,M,1,1,0,2,3.0,8.736661992516654,0.5,1.0,29.5,45,14,2
122,43,M,1,1,0,3,1.6666666666666667,8.317193011179008,0.6666666666666666,1.0,32.0,62,14,2
123,33,M,0,0,1,2,4.0,9.07058307559184,1.0,0.5,18.5,20,17,4
124,45,F,1,0,0,1,2.0,7.727323206789744,1.0,1.0,16.0,16,16,4
125,26,F,1,0,0,2,1.5,8.746428297808938,0.5,1.0,43.0,69,17,2
126,18,M,1,1,0,3,3.3333333333333335,9.543718114863685,0.6666666666666666,0.3333333333333333,31.333333333333332,64,11,2
127,15,F,0,1,0,1,1.0,7.905294392943835,1.0,0.0,5.0,5,5,2
128,42,M,1,1,0,2,1.0,8.202199974388778,0.5,0.5,42.0,62,22,1
129,15,F,0,1,0,1,1.0,8.323450344773956,1.0,1.0,13.0,13,13,3
130,18,F,0,1,0,2,1.0,8.382268830697026,0.5,0.5,35.5,60,11,4
131,46,M,1,1,0,2,1.0,9.009631269187448,0.5,0.5,36.0,58,14,4
132,39,M,0,0,0,2,3.0,9.485704121484385,0.5,0.5,35.0,56,14,2
133,35,M,1,1,0,1,3.0,8.019116025743674,1.0,0.0,14.0,14,14,4
134,18,F,0,0,0,2,1.5,8.535726050626238,0.5,1.0,41.5,63,20,2
135,57,F,1,1,1,2,2.0,8.829671068361092,0.5,1.0,31.5,55,8,2
136,20,F,0,0,0,1,3.0,7.933748811971171,1.0,1.0,14.0,14,14,4
137,20,F,1,1,0,2,2.0,8.3223303191712,1.0,1.0,15.0,18,12,4
138,37,F,1,1,0,2,2.5,9.852083477018535,0.0,0.5,58.5,63,54,4
139,31,F,0,0,1,2,4.0,9.792174538321468,0.5,0.5,41.0,67,15,4
140,26,M,0,0,0,2,2.0,8.320581826001414,1.0,0.5,17.5,20,15,4
141,19,F,0,0,0,3,3.0,9.685052561291462,0.3333333333333333,0.6666666666666666,38.333333333333336,50,16,4
142,17,M,1,0,0,1,6.0,10.728985566456963,0.0,1.0,60.0,60,60,4
143,24,M,1,0,1,4,2.25,8.888129330259332,0.5,0.5,39.0,74,11,4
144,15,F,1,1,0,3,1.0,8.006885609896203,0.6666666666666666,0.6666666666666666,28.333333333333332,55,8,2
145,30,M,0,1,0,2,3.0,7.959458610564363,1.0,1.0,20.0,23,17,2
146,35,M,1,1,0,2,1.0,7.617218940433107,1.0,0.0,13.5,19,8,4
147,15,M,1,1,0,1,1.0,9.22621825165718,0.0,0.0,55.0,55,55,4
148,38,F,1,1,0,1,1.0,7.316211902876524,1.0,1.0,12.0,12,12,2
149,39,M,0,1,0,2,2.0,7.983718259155085,1.0,0.5,12.5,14,11,4
150,31,M,1,1,0,2,2.0,7.675153011876511,1.0,1.0,17.0,17,17,4
151,15,M,0,0,0,3,4.0,9.423965001028535,0.6666666666666666,0.6666666666666666,29.333333333333332,63,12,4
152,35,F,0,0,0,1,5.0,7.623518905569408,1.0,1.0,18.0,18,18,4
153,32,F,1,1,0,2,1.0,8.996332272916431,0.5,0.0,40.5,59,22,4
154,22,F,1,1,0,1,4.0,10.156875742332788,0.0,1.0,55.0,55,55,4
155,29,F,1,1,0,1,1.0,9.138976174351214,0.0,0.0,50.0,50,50,4
156,27,M,1,1,0,2,2.0,8.285597953053916,1.0,0.5,14.0,15,13,2
157,47,M,1,0,0,1,3.0,9.551222480411182,0.0,1.0,64.0,64,64,2
158,27,F,1,1,0,2,2.0,9.832091809221545,0.0,0.5,54.0,57,51,2
159,31,F,1,0,1,1,2.0,10.047523599705638,0.0,1.0,56.0,56,56,2
160,23,M,1,0,1,2,3.5,10.453498724665005,0.0,1.0,64.0,68,60,2
161,25,F,1,1,0,1,3.0,10.345223423608967,0.0,0.0,60.0,60,60,4
162,33,Other,1,1,0,1,1.0,7.670809905793517,1.0,1.0,16.0,16,16,4
163,28,F,1,0,0,4,2.5,8.84638112030434,0.75,0.5,24.75,55,8,2
164,25,M,1,0,0,2,2.5,8.518763229708355,1.0,1.0,16.0,19,13,4
165,20,F,1,0,1,2,1.5,8.777365264699851,0.5,1.0,45.0,70,20,2
166,27,F,0,1,0,1,3.0,10.982711141646758,0.0,0.0,53.0,53,53,4
167,36,F,1,1,0,1,1.0,7.363012468505229,1.0,1.0,17.0,17,17,2
168,18,M,1,1,0,1,1.0,8.691522810050195,0.0,1.0,62.0,62,62,4
169,48,F,0,0,1,1,2.0,7.162801093604344,1.0,1.0,20.0,20,20,2
170,30,M,0,0,1,2,2.5,9.01378885241695,1.0,0.5,17.0,17,17,4
171,32,M,0,1,0,1,1.0,8.720390528483822,0.0,0.0,58.0,58,58,4
172,43,F,0,1,0,2,1.0,9.312905018133065,0.0,0.5,63.0,64,62,2
173,30,M,1,0,1,2,2.5,9.792911312927,0.5,0.5,33.0,60,6,2
174,38,F,1,0,0,2,2.5,8.989886172173154,1.0,0.5,15.0,19,11,4
175,15,F,0,1,0,1,1.0,7.828705994726877,1.0,1.0,17.0,17,17,4
176,35,F,0,1,0,3,1.0,7.295143823084277,1.0,0.6666666666666666,16.0,19,12,4
177,55,F,0,1,0,1,1.0,7.273232255550851,1.0,1.0,16.0,16,16,2
178,34,F,0,0,0,2,3.0,7.922225420564248,1.0,1.0,19.5,22,17,4
179,32,Other,0,0,1,2,2.0,10.141780093413491,0.0,0.0,61.0,68,54,4
180,15,F,1,1,0,1,1.0,9.245327597543232,0.0,1.0,65.0,65,65,2
181,21,M,1,1,0,1,1.0,8.428559623464677,0.0,1.0,71.0,71,71,4
182,30,M,1,1,0,1,3.0,10.646387033962904,0.0,0.0,58.0,58,58,4
183,26,F,1,1,0,2,1.0,7.610936648656889,1.0,0.0,13.0,14,12,2
184,41,M,0,1,0,2,1.0,8.971586817765896,0.5,0.5,38.0,57,19,2
185,38,M,1,1,0,2,2.0,9.744135343711791,0.0,0.5,50.0,54,46,4
186,31,Other,1,0,0,2,4.5,10.069834250412875,0.5,0.5,39.0,53,25,4
187,45,F,0,0,0,2,2.5,8.373166829047475,1.0,1.0,12.5,13,12,4
188,34,F,0,1,0,1,3.0,9.767285721317492,0.0,1.0,47.0,47,47,4
189,28,F,0,1,0,1,3.0,10.340967337082466,0.0,1.0,58.0,58,58,2
190,25,F,1,1,0,2,2.0,8.010531618763483,1.0,1.0,16.0,16,16,2
191,35,M,1,1,1,1,1.0,9.582127170089636,0.0,0.0,55.0,55,55,2
192,25,M,0,1,0,1,3.0,9.9610251590324,1.0,0.0,13.0,13,13,4
193,38,M,1,1,0,1,3.0,7.786895244214587,1.0,1.0,11.0,11,11,2
194,33,M,1,0,0,3,3.3333333333333335,8.855418446567507,0.3333333333333333,1.0,44.0,67,18,4
195,43,M,0,1,0,4,3.25,9.481467477803946,0.5,0.25,39.75,71,13,4
196,38,M,1,1,0,1,5.0,10.853249388894803,0.0,0.0,45.0,45,45,4
197,39,M,0,1,0,2,2.0,8.392248069141969,1.0,0.5,18.0,19,17,2
198,26,M,1,0,1,1,3.0,7.889384153162316,1.0,0.0,7.0,7,7,4
199,26,M,1,1,0,2,4.5,10.04883144318972,0.5,0.5,36.0,57,15,2
200,30,M,1,1,0,2,3.5,9.54409506747537,1.0,0.5,11.0,13,9,4
201,16,F,1,1,0,2,1.0,8.308555837986159,0.5,1.0,38.5,62,15,4
202,24,F,0,1,0,2,2.0,10.489256045862724,0.0,0.0,55.0,56,54,4
203,32,M,1,0,1,2,3.5,7.903255634876583,1.0,0.5,17.5,21,14,4
204,41,M,0,1,0,2,4.0,9.204909793396212,0.5,1.0,39.0,58,20,4
205,38,M,0,1,0,3,1.6666666666666667,8.203323137192067,1.0,0.6666666666666666,16.333333333333332,21,13,4
206,31,M,0,0,1,1,1.0,9.003890483438495,0.0,1.0,59.0,59,59,2
207,15,F,0,1,0,2,3.0,8.38468156316966,1.0,0.5,15.0,15,15,2
208,36,M,1,1,0,1,1.0,9.25437746387158,0.0,1.0,66.0,66,66,2
209,31,F,1,0,0,2,2.0,8.493557153028924,1.0,0.5,20.0,22,18,4
210,29,M,1,1,1,4,3.0,8.897433193803765,0.5,1.0,45.5,76,14,4
211,40,Other,1,0,0,1,3.0,10.035249557720196,0.0,1.0,58.0,58,58,4
212,21,F,1,1,0,3,2.3333333333333335,8.59541751027367,0.6666666666666666,0.6666666666666666,30.0,60,13,2
213,27,F,0,1,0,1,3.0,8.057251656947535,1.0,1.0,15.0,15,15,4
214,51,F,1,0,0,3,3.3333333333333335,7.801720828165853,1.0,0.3333333333333333,12.333333333333334,13,12,4
215,24,F,0,0,0,1,2.0,10.144485245942867,0.0,1.0,69.0,69,69,4
216,33,M,1,0,1,1,5.0,10.408517236492074,0.0,1.0,47.0,47,47,2
217,37,M,1,0,1,3,2.0,9.674983351821238,0.3333333333333333,0.3333333333333333,41.333333333333336,58,15,4
218,15,M,0,1,0,3,2.3333333333333335,9.696576645607527,0.3333333333333333,0.3333333333333333,48.0,70,12,4
219,15,M,1,1,0,3,1.6666666666666667,8.752580375447941,0.6666666666666666,0.3333333333333333,28.0,58,13,1
220,31,M,1,1,0,1,1.0,9.475609956557568,0.0,0.0,60.0,60,60,4
221,39,F,0,1,1,3,1.6666666666666667,8.82922668147169,0.3333333333333333,0.6666666666666666,46.0,59,20,4
222,15,F,1,1,0,3,1.6666666666666667,8.588256475073978,0.6666666666666666,0.6666666666666666,32.666666666666664,60,19,4
223,28,F,1,0,1,3,1.3333333333333333,7.823992190337546,0.6666666666666666,0.3333333333333333,29.0,56,11,4
224,27,M,0,0,0,1,1.0,7.85265718032447,1.0,1.0,12.0,12,12,2
225,48,F,0,1,0,1,1.0,8.806394181477307,0.0,1.0,80.0,80,80,4
226,37,M,1,1,0,2,3.5,9.697448428502133,0.5,0.5,38.5,58,19,4
227,28,M,0,1,0,2,2.5,10.32516128160192,0.0,0.0,51.0,58,44,2
228,30,M,1,0,0,1,2.0,9.080325304739407,1.0,0.0,14.0,14,14,4
229,45,M,1,0,0,2,2.5,9.756382217222683,0.5,0.0,40.0,63,17,4
230,31,M,1,0,0,2,2.0,9.292967208978759,0.0,0.5,51.5,54,49,2
231,31,F,1,1,0,3,1.0,8.527724966285383,0.6666666666666666,0.3333333333333333,27.333333333333332,54,14,4
232,22,M,1,1,0,1,1.0,8.426332629358825,0.0,1.0,62.0,62,62,4
233,32,F,1,1,0,2,1.0,8.723832245766449,0.5,1.0,36.0,55,17,4
234,33,M,1,1,0,1,1.0,7.766486835673207,1.0,1.0,13.0,13,13,2
235,39,F,1,1,0,2,1.0,8.678428657697841,0.5,0.5,40.5,69,12,4
236,25,F,0,0,0,2,1.0,8.285714446070271,0.5,0.5,34.5,54,15,2
237,38,M,1,0,1,3,2.3333333333333335,9.510205270466967,0.3333333333333333,0.6666666666666666,36.666666666666664,55,11,2
238,24,Other,1,1,0,1,1.0,8.56021880807318,1.0,0.0,15.0,15,15,4
239,36,M,0,1,0,2,2.5,9.474416028985214,0.5,0.0,42.0,66,18,2
240,32,M,0,0,1,3,1.3333333333333333,8.125641011770627,0.6666666666666666,1.0,27.333333333333332,55,11,2
241,23,M,0,1,0,1,1.0,9.489391531389249,0.0,1.0,61.0,61,61,4
242,24,M,0,1,0,1,1.0,9.777835714914286,0.0,0.0,54.0,54,54,2
243,27,F,1,1,0,3,2.3333333333333335,8.343170899178576,1.0,1.0,13.666666666666666,15,12,4
244,19,F,0,1,0,4,2.5,8.962193014778169,0.5,0.5,42.5,66,20,2
245,29,F,1,1,0,1,1.0,7.826409075337619,1.0,0.0,15.0,15,15,2
246,38,M,0,0,0,2,5.5,9.405354575145374,0.5,1.0,40.0,59,21,2
247,57,M,1,0,0,3,2.3333333333333335,9.130877794476751,0.6666666666666666,0.3333333333333333,33.0,61,15,2
248,29,F,1,0,0,1,3.0,10.539947227433016,0.0,1.0,62.0,62,62,4
249,35,M,0,1,1,2,1.0,7.936125047970819,1.0,0.5,16.5,21,12,4
250,38,F,1,1,0,3,2.0,8.268187479028589,0.6666666666666666,0.6666666666666666,29.666666666666668,61,12,4
251,22,F,1,1,0,4,2.0,8.6727153731762,0.5,0.75,36.75,58,16,4
252,40,M,0,0,0,1,3.0,9.911161867856682,0.0,1.0,62.0,62,62,4
253,35,F,1,0,1,2,4.0,9.627480785505757,0.0,1.0,58.5,61,56,4
254,16,F,1,1,1,4,1.5,8.01132954289603,0.5,0.75,42.25,80,10,4
255,27,M,0,1,0,4,1.0,8.498784682045368,0.5,0.5,35.75,54,14,4
256,36,M,0,1,0,1,3.0,8.648866086250301,1.0,1.0,8.0,8,8,4
257,26,F,0,1,0,2,1.0,8.221866930177619,0.5,1.0,39.5,55,24,4
258,25,Other,1,1,0,5,1.0,8.566649108127248,0.4,0.8,43.6,64,15,4
259,22,F,0,1,0,1,3.0,9.189720990052818,1.0,0.0,20.0,20,20,4
260,18,M,0,1,0,4,1.75,9.429545006676932,0.25,0.75,48.75,63,14,4
261,37,F,1,1,0,2,2.0,9.472678541325116,0.5,0.5,36.5,57,16,2
262,43,M,1,0,0,1,4.0,10.972328593652469,0.0,0.0,63.0,63,63,4
263,29,F,1,0,1,2,4.0,8.788465827501106,1.0,1.0,15.0,16,14,4
264,25,M,0,1,0,3,3.0,9.34601923756505,0.3333333333333333,0.6666666666666666,43.0,67,15,2
265,45,F,0,1,0,1,1.0,9.72989912585048,0.0,0.0,61.0,61,61,4
266,28,M,0,1,0,2,5.5,9.08161823514034,0.5,0.5,37.5,61,14,4
267,30,F,1,1,0,1,1.0,7.7705854270242405,1.0,1.0,17.0,17,17,2
268,35,M,1,1,0,2,1.0,9.252839140851542,0.0,1.0,65.0,73,57,4
269,18,F,0,0,0,1,6.0,11.760480669437742,0.0,0.0,79.0,79,79,4
270,23,F,1,1,0,1,1.0,9.765402837161453,0.0,0.0,69.0,69,69,4
271,24,F,1,1,0,2,1.0,9.26782061733548,0.0,0.0,59.5,65,54,2
272,23,M,0,0,0,2,3.0,9.460582311723089,0.0,1.0,68.5,69,68,2
273,36,F,1,1,0,1,4.0,10.413230886426117,0.0,1.0,54.0,54,54,2
274,15,F,1,0,0,4,3.5,9.533095812743333,0.5,0.75,34.0,55,14,2
275,33,M,1,1,0,2,1.0,7.432738305145021,1.0,0.5,9.0,10,8,2
276,41,M,0,1,0,4,3.5,10.289456734872404,0.25,0.75,52.25,71,17,4
277,30,M,1,0,0,3,1.6666666666666667,8.442578450517075,1.0,0.6666666666666666,15.0,21,9,4
278,27,F,1,0,1,1,4.0,8.533753698332239,1.0,1.0,18.0,18,18,4
279,20,M,0,0,1,1,5.0,7.954218996626122,1.0,1.0,12.0,12,12,2
280,35,F,0,0,0,2,2.0,8.572048378185578,1.0,0.5,14.5,15,14,4
281,15,M,0,1,0,1,1.0,7.547132001097251,1.0,1.0,10.0,10,10,4
282,32,F,0,0,0,1,2.0,8.276586812391622,1.0,1.0,25.0,25,25,4
283,21,M,1,1,0,3,1.0,8.374167993043578,1.0,0.3333333333333333,17.0,20,15,4
284,46,M,1,1,0,4,1.0,7.830962108107696,0.75,0.5,23.5,47,9,2
285,36,F,1,0,1,1,4.0,10.938379669302698,0.0,0.0,67.0,67,67,4
286,34,F,0,0,1,2,3.0,9.351474847478915,0.5,0.5,37.5,68,7,2
287,31,M,1,0,0,3,2.3333333333333335,8.958283372031872,0.6666666666666666,0.3333333333333333,27.333333333333332,55,13,4
288,23,F,1,1,0,3,1.0,8.302811722201008,0.6666666666666666,0.6666666666666666,33.333333333333336,66,17,4
289,40,F,1,1,0,2,2.0,9.09176157454328,0.5,0.5,29.5,51,8,2
290,38,M,1,0,0,1,1.0,9.368341258778129,0.0,0.0,60.0,60,60,4
291,26,F,1,0,0,2,2.5,9.499120604325462,0.5,0.5,36.5,62,11,4
292,23,F,1,0,0,2,4.0,9.7403542621098,0.5,0.5,39.0,63,15,4
293,28,M,1,0,0,2,2.5,8.656666441990481,1.0,0.5,12.5,16,9,2
294,34,M,1,0,1,3,3.3333333333333335,8.403267686330627,0.6666666666666666,1.0,32.666666666666664,65,13,4
295,20,F,1,0,0,1,3.0,10.087896502623558,0.0,1.0,74.0,74,74,4
296,32,F,0,1,0,2,1.0,7.730755042327926,1.0,1.0,13.0,13,13,4
